anchor,complement,lift,confidence_pct,support_pct,pair_tx
EUTHYROX TAB 50MCG,AMVASC BE TAB 5MG,26.106404958677686,18.18,0.07,18
TRAJENTA (LINAGLIPTIN) 5MG TAB,B-PLEX (VIT B1+B6+B12) CAP,26.006615701264334,7.82,0.06,14
TRAJENTA (LINAGLIPTIN) 5MG TAB,REVICON FORTE TAB,9.98233733987924,7.82,0.06,14
TRAJENTA (LINAGLIPTIN) 5MG TAB,NEBILET TAB 5MG,9.965560302333225,10.06,0.07,18
TRAJENTA (LINAGLIPTIN) 5MG TAB,ATENURIX FCT 40MG,7.058938547486033,7.82,0.06,14
TRAJENTA (LINAGLIPTIN) 5MG TAB,FORXIGA 10MG,5.290723171685785,10.61,0.08,19
CELCOXX CAP 200MG,RM COLCHICINE 500MG TAB,22.46596393192786,11.29,0.06,14
RM COLCHICINE 500MG TAB,CELCOXX CAP 200MG,22.46596393192786,11.02,0.06,14
DIABEE (VITAMIN B COMPLEX) CAP,ATENURIX FCT 40MG,22.363716814159293,24.78,0.11,28
NEBILET TAB 5MG,B-PLEX (VIT B1+B6+B12) CAP,22.167543859649125,6.67,0.07,17
NEBILET TAB 5MG,NEPHROMIN (KETOANALOGUES+ESSENTIAL AMINO ACIDS) TAB,13.412295444493587,7.06,0.07,18
NEBILET TAB 5MG,ATENURIX FCT 40MG,12.033809523809525,13.33,0.13,34
NEBILET TAB 5MG,REVICON FORTE TAB,12.012358882947119,9.41,0.09,24
NEBILET TAB 5MG,TRAJENTA (LINAGLIPTIN) 5MG TAB,9.965560302333225,7.06,0.07,18
FEMME PAPER TOWEL 1PLY,SANICARE CLEANSING WIPES - ALOE 80 SHEETS,21.980818531404502,11.05,0.08,19
SANICARE CLEANSING WIPES - ALOE 80 SHEETS,FEMME PAPER TOWEL 1PLY,21.980818531404502,14.96,0.08,19
AMLOTHIX (AMLODIPINE) 5MG TAB,NOVASARTAN (LOSARTAN K) 50MG FC TAB,21.49286191604398,15.05,0.06,14
NOVASARTAN (LOSARTAN K) 50MG FC TAB,AMLOTHIX (AMLODIPINE) 5MG TAB,21.49286191604398,7.91,0.06,14
ERCEFLORA KIDDIE ORAL SOLUTION 5ML,VIVALYTE E-DRINK APPLE 250ML,21.108419645840293,20.55,0.06,15
VIVALYTE E-DRINK APPLE 250ML,ERCEFLORA KIDDIE ORAL SOLUTION 5ML,21.108419645840293,6.1,0.06,15
VIVALYTE E-DRINK APPLE 250ML,VIVALYTE E-DRINK ORANGE 250ML,12.34977120263006,8.94,0.09,22
AURORA (ROSUVASTATIN) 20MG FC TAB,ATENURIX FCT 40MG,20.713934426229503,22.95,0.06,14
ASMACAIRE 2MG/5ML 60ML SYRUP,KLARYTH 250MG/5ML SUSP 35ML,19.503241407697057,8.72,0.06,15
ASMACAIRE 2MG/5ML 60ML SYRUP,BACTIV 457MG/5ML 70ML,17.61593794494542,27.33,0.19,47
KLARYTH 250MG/5ML SUSP 35ML,ASMACAIRE 2MG/5ML 60ML SYRUP,19.503241407697057,13.27,0.06,15
KLARYTH 250MG/5ML SUSP 35ML,OHHIRA&#039;S RED OMX PROBIOTICS CAP,6.695723597053681,13.27,0.06,15
CALCIUMADE TAB,TERRAFERON CAP,18.585637032230153,14.78,0.07,17
TERRAFERON CAP,CALCIUMADE TAB,18.585637032230153,8.46,0.07,17
TERRAFERON CAP,MX3 COFFEE MIX 10G,5.733450013774774,6.97,0.06,14
BACTIV 457MG/5ML 70ML,ASMACAIRE 2MG/5ML 60ML SYRUP,17.61593794494542,11.99,0.19,47
BACTIV 457MG/5ML 70ML,BREZU SYR 5MCG/ML 60ML..,10.744472789115648,8.16,0.13,32
BACTIV 457MG/5ML 70ML,APPEVIT 120ML SYR,10.670372976776918,6.12,0.09,24
BACTIV 457MG/5ML 70ML,MEPTIN SYR 60ML,7.287555456965395,3.32,0.05,13
BACTIV 457MG/5ML 70ML,OHHIRA&#039;S RED OMX PROBIOTICS CAP,5.533081795592489,10.97,0.17,43
RETASAR (LOSARTAN) 50MG TAB,RETAVASC (AMLODIPINE) 10MG TAB,14.39026596101025,6.72,0.07,17
RETAVASC (AMLODIPINE) 10MG TAB,RETASAR (LOSARTAN) 50MG TAB,14.39026596101025,14.41,0.07,17
NEPHROMIN (KETOANALOGUES+ESSENTIAL AMINO ACIDS) TAB,NEBILET TAB 5MG,13.412295444493587,13.53,0.07,18
NEPHROMIN (KETOANALOGUES+ESSENTIAL AMINO ACIDS) TAB,ATENURIX FCT 40MG,10.857572502685285,12.03,0.06,16
TRIMEBET (TRIMETAZIDINE) 35MG TAB,KARVIDOL 25MG TAB,13.250440917107586,6.61,0.09,22
TRIMEBET (TRIMETAZIDINE) 35MG TAB,GIRAN-8 (CANDESARTAN) 8MG TAB,12.354005167958658,6.31,0.08,21
TRIMEBET (TRIMETAZIDINE) 35MG TAB,CLOHEAL (CLOPIDOGREL) 75MG TAB,11.30260047281324,4.2,0.06,14
TRIMEBET (TRIMETAZIDINE) 35MG TAB,FEBUDAY-40 (FEBUXOSTAT) 40MG TAB,7.020558002936857,6.31,0.08,21
TRIMEBET (TRIMETAZIDINE) 35MG TAB,CALIPTROL (ATORVASTATIN) 40MG,5.754607688256978,4.8,0.06,16
VIVALYTE E-DRINK ORANGE 250ML,VIVALYTE E-DRINK APPLE 250ML,12.34977120263006,12.02,0.09,22
FORXIGA 10MG,SPIRODEN (SPIRONOLACTONE) 25MG TAB,11.930788115321668,8.88,0.18,45
FORXIGA 10MG,GIRAN-8 (CANDESARTAN) 8MG TAB,11.205281103313304,5.72,0.11,29
FORXIGA 10MG,B-PLEX (VIT B1+B6+B12) CAP,11.149356379113463,3.35,0.07,17
FORXIGA 10MG,KARVIDOL 25MG TAB,9.49412980182211,4.73,0.09,24
FORXIGA 10MG,CLOHEAL (CLOPIDOGREL) 75MG TAB,9.014373242687482,3.35,0.07,17
SOLMUX 500MG CAP,CENTRUM SILVER ADVANCE TAB,11.368873716523764,9.04,0.07,17
BREZU SYR 5MCG/ML 60ML..,BACTIV 457MG/5ML 70ML,10.744472789115648,16.67,0.13,32
APPEVIT 120ML SYR,BACTIV 457MG/5ML 70ML,10.670372976776918,16.55,0.09,24
ALAXAN FR CAP,BIOFLU TAB,8.39428666334496,14.81,0.16,40
ALAXAN FR CAP,BIOGESIC 500MG TAB,3.328316570881226,12.22,0.13,33
BIOFLU TAB,ALAXAN FR CAP,8.39428666334496,8.97,0.16,40
BIOFLU TAB,FLANAX FORTE 550MG TAB,4.377278238611213,4.04,0.07,18
BIOFLU TAB,NEOZEP FORTE TAB,3.6852965839075433,3.59,0.06,16
BIOFLU TAB,BIOGESIC 500MG TAB,3.541339686098655,13.0,0.23,58
MEPTIN SYR 60ML,BACTIV 457MG/5ML 70ML,7.287555456965395,11.3,0.05,13
LE MINERALE 1.5ML,LE MINERALE 600ML,7.162192376123821,11.96,0.14,36
LE MINERALE 1.5ML,SANICARE BATHROOM TISSUE 1s,1.9960014414556728,5.32,0.06,16
LE MINERALE 600ML,LE MINERALE 1.5ML,7.162192376123821,8.53,0.14,36
OHHIRA&#039;S RED OMX PROBIOTICS CAP,KLARYTH 250MG/5ML SUSP 35ML,6.695723597053681,2.99,0.06,15
OHHIRA&#039;S RED OMX PROBIOTICS CAP,BACTIV 457MG/5ML 70ML,5.533081795592489,8.58,0.17,43
MX3 COFFEE MIX 10G,TERRAFERON CAP,5.733450013774774,4.56,0.06,14
MX3 COFFEE MIX 10G,NEBILET TAB 5MG,4.196499968065402,4.23,0.05,13
MX3 COFFEE MIX 10G,ATENURIX FCT 40MG,3.821812470916705,4.23,0.05,13
FLANAX FORTE 550MG TAB,BIOFLU TAB,4.377278238611213,7.73,0.07,18
FLANAX FORTE 550MG TAB,BIOGESIC 500MG TAB,1.5193641778895959,5.58,0.05,13
NEOZEP FORTE TAB,BIOFLU TAB,3.6852965839075433,6.5,0.06,16
NEOZEP FORTE TAB,BIOGESIC 500MG TAB,3.6530303826745167,13.41,0.13,33
BIOGESIC 500MG TAB,NEOZEP FORTE TAB,3.6530303826745167,3.56,0.13,33
BIOGESIC 500MG TAB,BIOFLU TAB,3.541339686098655,6.25,0.23,58
BIOGESIC 500MG TAB,ALAXAN FR CAP,3.328316570881226,3.56,0.13,33
BIOGESIC 500MG TAB,NEOZEP NO-DROWSE (PHENYLEPHRINE HCL + PARACETAMOL) TAB,2.338917389464777,1.51,0.06,14
BIOGESIC 500MG TAB,DIATABS CAP,1.715381482487103,1.72,0.06,16
NEOZEP NO-DROWSE (PHENYLEPHRINE HCL + PARACETAMOL) TAB,BIOGESIC 500MG TAB,2.338917389464777,8.59,0.06,14
SANICARE BATHROOM TISSUE 1s,LE MINERALE 1.5ML,1.9960014414556728,2.38,0.06,16
DIATABS CAP,BIOGESIC 500MG TAB,1.715381482487103,6.3,0.06,16
