sku,date,model,forecast
4807788562593,2025-05-01,LSTM,116.72599093118303
4807788562593,2025-06-01,LSTM,121.6957085012793
4807788562593,2025-07-01,LSTM,133.67747230523818
4807788562593,2025-08-01,LSTM,134.63205209955566
4807788562593,2025-09-01,LSTM,137.11176501822465
4807788562593,2025-04-01,RandomForest,107.73829822752006
4807788562593,2025-05-01,RandomForest,119.36346701424704
4807788562593,2025-06-01,RandomForest,126.29876677792068
4807788562593,2025-07-01,RandomForest,129.90225276216376
4807788562593,2025-08-01,RandomForest,132.05243055087342
4807788562593,2025-09-01,RandomForest,132.40913891113254
8904179014702,2023-10-01,ExtraTrees,112.0
8904179014702,2023-11-01,ExtraTrees,112.0
8904179014702,2023-12-01,ExtraTrees,112.0
8904179014702,2024-01-01,ExtraTrees,112.0
8904179014702,2024-02-01,ExtraTrees,112.0
8904179014702,2024-03-01,ExtraTrees,112.0
8904179014702,2023-10-01,GradientBoosting,112.0
8904179014702,2023-11-01,GradientBoosting,112.0
8904179014702,2023-12-01,GradientBoosting,112.0
8904179014702,2024-01-01,GradientBoosting,112.0
8904179014702,2024-02-01,GradientBoosting,112.0
8904179014702,2024-03-01,GradientBoosting,112.0
8904179014702,2023-10-01,LSTM,112.0
8904179014702,2023-11-01,LSTM,112.0
8904179014702,2023-12-01,LSTM,112.0
8904179014702,2024-01-01,LSTM,112.0
8904179014702,2024-02-01,LSTM,112.0
8904179014702,2024-03-01,LSTM,112.0
8904179014702,2023-10-01,RandomForest,112.0
8904179014702,2023-11-01,RandomForest,112.0
8904179014702,2023-12-01,RandomForest,112.0
8904179014702,2024-01-01,RandomForest,112.0
8904179014702,2024-02-01,RandomForest,112.0
8904179014702,2024-03-01,RandomForest,112.0
8904186000521,2024-06-01,ExtraTrees,147.09043349739005
8904186000521,2024-07-01,ExtraTrees,193.0605309307983
8904186000521,2024-08-01,ExtraTrees,162.11274592980797
8904186000521,2024-09-01,ExtraTrees,222.8610997480709
8904186000521,2024-10-01,ExtraTrees,230.5920919929917
8904186000521,2024-11-01,ExtraTrees,249.65279317489205
8904186000521,2024-06-01,GradientBoosting,139.63394645589568
8904186000521,2024-07-01,GradientBoosting,216.5255889542845
8904186000521,2024-08-01,GradientBoosting,180.19855946851888
8904186000521,2024-09-01,GradientBoosting,252.57318162964523
8904186000521,2024-10-01,GradientBoosting,270.6839249817252
8904186000521,2024-11-01,GradientBoosting,289.27999567821007
8904186000521,2024-06-01,LSTM,170.94630870610166
8904186000521,2024-07-01,LSTM,189.2730568076038
8904186000521,2024-08-01,LSTM,157.65153327945202
8904186000521,2024-09-01,LSTM,227.12188461712964
8904186000521,2024-10-01,LSTM,230.9274584255641
8904186000521,2024-11-01,LSTM,248.48223728664536
8904186000521,2024-06-01,RandomForest,188.01484247842723
8904186000521,2024-07-01,RandomForest,203.6261411661484
8904186000521,2024-08-01,RandomForest,184.46317553457845
8904186000521,2024-09-01,RandomForest,235.0128717963976
8904186000521,2024-10-01,RandomForest,245.0692627256685
8904186000521,2024-11-01,RandomForest,258.07694641764425
