sku,date,qty_actual,ExtraTrees_forecast,GradientBoosting_forecast,LSTM_forecast,RandomForest_forecast
4806527192022,2025-02-01,10.0,,,,
4806527194088,2022-05-01,175.0,,,,
4806527194088,2022-06-01,298.0,,,,
4806527194088,2022-07-01,293.0,,,,
4806527194088,2022-08-01,211.0,,,,
4806527194088,2022-09-01,252.0,,,,
4806527194088,2022-10-01,401.0,,,,
4806527194088,2022-11-01,340.0,,,,
4806527194088,2022-12-01,173.0,,,,
4806527194088,2023-01-01,265.0,,,,
4806527194088,2023-02-01,316.0,,,,
4806527194088,2023-03-01,33.0,,,,
4806527194088,2023-04-01,0.0,,,,
4806527194088,2023-05-01,10.0,,,,
4806527194088,2023-06-01,14.0,,,,
4806527201342,2024-12-01,30.0,,,,
4806527201342,2025-01-01,0.0,,,,
4806527201342,2025-02-01,0.0,,,,
4806527201342,2025-03-01,3000.0,,,,
4806533602355,2023-12-01,200.0,,,,
4806533602355,2024-01-01,120.0,,,,
4806533602355,2024-02-01,215.0,,,,
4806533602355,2024-03-01,230.0,,,,
4806533602355,2024-04-01,535.0,,,,
4806533602355,2024-05-01,378.0,,,,
4806533602355,2024-06-01,242.0,,,,
4806533602355,2024-07-01,445.0,,,,
4806533602355,2024-08-01,85.0,,,,
4806533602355,2024-09-01,0.0,,,,
4806533602355,2024-10-01,361.0,,,,
4806533602355,2024-11-01,110.0,,,,
4806533602355,2024-12-01,200.0,,,,
4806533602355,2025-01-01,220.0,,,,
4806533602355,2025-02-01,513.0,,,,
4806533602355,2025-03-01,30.0,,,,
4806533602362,2024-06-01,231.0,,,,
4806533602362,2024-07-01,374.0,,,,
4806533602362,2024-08-01,161.0,,,,
4806533602362,2024-09-01,254.0,,,,
4806533602362,2024-10-01,261.0,,,,
4806533602362,2024-11-01,152.0,,,,
4806533602362,2024-12-01,189.0,,,,
4806533602362,2025-01-01,227.0,,,,
4806533602362,2025-02-01,180.0,,,,
4806533602362,2025-03-01,232.0,,,,
4806533602379,2023-09-01,457.0,,,,
4806533602379,2023-10-01,487.0,,,,
4806533602379,2023-11-01,742.0,,,,
4806533602379,2023-12-01,866.0,,,,
4806533602379,2024-01-01,890.0,,,,
4806533602379,2024-02-01,669.0,,,,
4806533602379,2024-03-01,1080.0,,,,
4806533602379,2024-04-01,1500.0,,,,
4806533602379,2024-05-01,899.0,,,,
4806533602379,2024-06-01,990.0,,,,
4806533602379,2024-07-01,580.0,,,,
4806533602379,2024-08-01,787.0,,,,
4806533602379,2024-09-01,867.0,,,,
4806533602379,2024-10-01,805.0,,,,
4806533602379,2024-11-01,90.0,,,,
4806533602379,2024-12-01,,866.0,866.0,482.1983591973781,397.23802996932193
4806533602379,2025-01-01,,890.0,890.0,450.684757463336,397.2380299693205
4806533602379,2025-02-01,,669.0,669.0,426.0757538044452,397.2380299693205
4806533602379,2025-03-01,,1080.0,1080.0,478.15182636559007,397.2380299693209
4806533602379,2025-04-01,,1470.6,1470.6,474.7542214912176,397.2380299693216
4806533602379,2025-05-01,,899.0,899.0,476.8301515603065,397.2380299693213
4806534570240,2023-03-01,140.0,,,,
4806534570240,2023-04-01,212.0,,,,
4806534570240,2023-05-01,225.0,,,,
4806534570240,2023-06-01,125.0,,,,
4806534570240,2023-07-01,150.0,,,,
4806534570240,2023-08-01,228.0,,,,
4806534570240,2023-09-01,268.0,,,,
4806534570240,2023-10-01,307.0,,,,
4806534570240,2023-11-01,191.0,,,,
4806534570240,2023-12-01,186.0,,,,
4806534570240,2024-01-01,56.0,,,,
4806534570240,2024-02-01,30.0,,,,
4806534570240,2024-03-01,287.0,,,,
4806534570240,2024-04-01,147.0,,,,
4807788048462,2022-05-01,22.0,,,,
4807788048462,2022-06-01,22.0,,,,
4807788048462,2022-07-01,16.0,,,,
4807788048462,2022-08-01,34.0,,,,
4807788048462,2022-09-01,49.0,,,,
4807788048462,2022-10-01,56.0,,,,
4807788048462,2022-11-01,98.0,,,,
4807788048462,2022-12-01,52.0,,,,
4807788048462,2023-01-01,41.0,,,,
4807788048462,2023-02-01,44.0,,,,
4807788048462,2023-03-01,70.0,,,,
4807788048462,2023-04-01,35.0,,,,
4807788048462,2023-05-01,67.0,,,,
4807788048462,2023-06-01,73.0,,,,
4807788048462,2023-07-01,78.0,,,,
4807788048462,2023-08-01,92.0,,,,
4807788048462,2023-09-01,41.0,,,,
4807788048462,2023-10-01,63.0,,,,
4807788048462,2023-11-01,104.0,,,,
4807788048462,2023-12-01,61.0,,,,
4807788048462,2024-01-01,149.0,,,,
4807788048462,2024-02-01,77.0,,,,
4807788048462,2024-03-01,82.0,,,,
4807788048462,2024-04-01,117.0,,,,
4807788048462,2024-05-01,57.0,,,,
4807788048462,2024-06-01,41.0,,,,
4807788048462,2024-07-01,54.0,,,,
4807788048462,2024-08-01,109.0,,,,
4807788048462,2024-09-01,181.0,,,,
4807788048462,2024-10-01,70.0,,,,
4807788048462,2024-11-01,79.0,,,,
4807788048462,2024-12-01,55.0,,,,
4807788048462,2025-01-01,35.0,,,,
4807788048462,2025-02-01,74.0,,,,
4807788048462,2025-03-01,57.0,,,,
4807788402646,2022-06-01,44.0,,,,
4807788402646,2022-07-01,59.0,,,,
4807788402646,2022-08-01,120.0,,,,
4807788402646,2022-09-01,96.0,,,,
4807788402646,2022-10-01,138.0,,,,
4807788402646,2022-11-01,63.0,,,,
4807788402646,2022-12-01,85.0,,,,
4807788402646,2023-01-01,39.0,,,,
4807788402646,2023-02-01,62.0,,,,
4807788402646,2023-03-01,60.0,,,,
4807788402646,2023-04-01,69.0,,,,
4807788402646,2023-05-01,58.0,,,,
4807788402646,2023-06-01,13.0,,,,
4807788402646,2023-07-01,29.0,,,,
4807788402646,2023-08-01,32.0,,,,
4807788402646,2023-09-01,46.0,,,,
4807788402646,2023-10-01,91.0,,,,
4807788402646,2023-11-01,72.0,,,,
4807788402646,2023-12-01,151.0,,,,
4807788402646,2024-01-01,202.0,,,,
4807788402646,2024-02-01,115.0,,,,
4807788402646,2024-03-01,71.0,,,,
4807788402646,2024-04-01,75.0,,,,
4807788402646,2024-05-01,58.0,,,,
4807788402646,2024-06-01,60.0,,,,
4807788402646,2024-07-01,91.0,,,,
4807788402646,2024-08-01,67.0,,,,
4807788402646,2024-09-01,200.0,,,,
4807788402646,2024-10-01,1.0,,,,
4807788402646,2024-11-01,0.0,,,,
4807788402646,2024-12-01,0.0,,,,
4807788402646,2025-01-01,0.0,,,,
4807788402646,2025-02-01,3.0,,,,
4807788526762,2022-05-01,47.0,,,,
4807788526762,2022-06-01,85.0,,,,
4807788526762,2022-07-01,122.0,,,,
