month,category,total_sales,total_qty
2022-11,DIAPERS,10744.5,61.0
2022-11,DISINFECTANT,10619.5,84.0
2022-11,DISPOSABLES,5680.0,141.0
2022-11,EENT,1528.44,13.0
2022-11,ELECTRONIC MEDICAL DEVICES,11493.25,26.0
2022-11,FOOD SUPPLEMENTS,5781.45,295.0
2022-11,GALENICALS AND SOLUTIONS,5293.2,84.0
2022-11,GIT,14447.34,610.0
2022-11,GUT AND HORMONES,18803.59,585.0
2022-11,HAIR CARE,1325.7,20.0
2022-11,HOME REMEDY,4489.45,57.0
2022-11,NEEDLES AND TUBINGS,447.9,21.0
2022-11,NEUROLOGICAL DRUGS,1629.43,50.0
2022-11,ORAL CARE,8179.5,88.0
2022-11,ORTHO SUPPORT,8766.5,19.0
2022-11,PAIN MANAGEMENT,41751.87,2660.0
2022-11,PEDIATRIC MILK,171.25,5.0
2022-11,PERSONAL PROTECTIVE EQUIPMENT,2082.12,33.0
2022-11,"PLASTIC, GLASSWARE, AND STAINLESS",651.2,10.0
2022-11,PROMO PACKS,1847.19,99.0
2022-11,RESPIRATORY,37013.71,1928.0
2022-11,SKIN AND BODY,9948.9,171.0
2022-11,SPECIAL CATEGORY 1,114.0,45.0
2022-11,VITAMINS,45133.99,3118.0
2022-11,WOUND CARE,1893.7,47.0
2022-12,ADULT MILK,4856.3099999999995,14.0
2022-12,ANTIBIOTICS,41790.3,1091.0
2022-12,ANTIDIABETICS,14266.14,1044.0
2022-12,ASSISTIVE DEVICE,26377.5,10.0
2022-12,BEVERAGES,4840.4,171.0
2022-12,CARDIOVASCULAR,44159.57,4624.0
2022-12,COLD CHAIN,376.0,2.0
2022-12,COTTONS AND HYGIENE,8970.7,195.0
2022-12,DERMATOLOGICALS,7383.07,72.0
2022-12,DIAGNOSTIC,1030.0,22.0
2022-12,DIAPERS,9281.8,61.0
2022-12,DISINFECTANT,6851.95,57.0
2022-12,DISPOSABLES,5357.17,129.0
2022-12,EENT,3594.5,18.0
2022-12,ELECTRONIC MEDICAL DEVICES,17535.11,24.0
2022-12,FOOD,435.0,1.0
2022-12,FOOD SUPPLEMENTS,5158.25,208.0
2022-12,GALENICALS AND SOLUTIONS,4229.89,84.0
2022-12,GIT,14004.7,721.0
2022-12,GUT AND HORMONES,29255.18,975.0
2022-12,HAIR CARE,611.8,12.0
2022-12,HOME REMEDY,4657.9,60.0
2022-12,MANUAL MEDICAL DEVICES,2700.0,1.0
2022-12,NEEDLES AND TUBINGS,486.89,23.0
2022-12,NEUROLOGICAL DRUGS,2859.42,72.0
2022-12,ORAL CARE,5147.75,45.0
2022-12,ORTHO SUPPORT,2212.0,11.0
2022-12,PAIN MANAGEMENT,38019.24,2289.0
2022-12,PERSONAL PROTECTIVE EQUIPMENT,2494.96,12.0
2022-12,"PLASTIC, GLASSWARE, AND STAINLESS",623.6,15.0
2022-12,PROMO PACKS,2234.92,140.0
2022-12,RESPIRATORY,53462.58,2314.0
2022-12,SKIN AND BODY,10220.99,168.0
2022-12,SPECIAL CATEGORY 1,543.2,20.0
2022-12,VITAMINS,37146.04,2702.0
2022-12,WOUND CARE,1803.52,327.0
2023-01,ADULT MILK,6564.259999999999,24.0
2023-01,ANTIBIOTICS,48930.69,1758.0
2023-01,ANTIDIABETICS,18086.77,1049.0
2023-01,ASSISTIVE DEVICE,58030.770000000004,17.0
2023-01,BEVERAGES,3826.0,147.0
2023-01,CARDIOVASCULAR,36970.09,4488.0
2023-01,COTTONS AND HYGIENE,9814.7,199.0
2023-01,DERMATOLOGICALS,8848.95,59.0
2023-01,DIAGNOSTIC,2025.0,46.0
2023-01,DIAPERS,11763.25,63.0
2023-01,DISINFECTANT,5451.6,47.0
2023-01,DISPOSABLES,6069.09,136.0
2023-01,EENT,2365.11,16.0
2023-01,ELECTRONIC MEDICAL DEVICES,12626.47,12.0
2023-01,FOOD,593.25,4.0
2023-01,FOOD SUPPLEMENTS,8833.88,497.0
2023-01,GALENICALS AND SOLUTIONS,4284.85,121.0
2023-01,GIT,23227.41,1048.0
2023-01,GUT AND HORMONES,25407.72,630.0
2023-01,HAIR CARE,1184.7,24.0
2023-01,HOME REMEDY,4028.0,58.0
2023-01,HOUSEHOLD CHEMICALS,5700.0,10.0
2023-01,NEEDLES AND TUBINGS,1307.45,32.0
2023-01,NEUROLOGICAL DRUGS,1902.27,68.0
2023-01,ORAL CARE,7472.0,82.0
2023-01,ORTHO SUPPORT,3843.5,20.0
2023-01,PAIN MANAGEMENT,40040.58,2193.0
2023-01,PEDIATRIC MILK,450.5,2.0
2023-01,PERSONAL PROTECTIVE EQUIPMENT,978.56,15.0
2023-01,"PLASTIC, GLASSWARE, AND STAINLESS",1014.75,16.0
2023-01,PROMO PACKS,3366.12,154.0
2023-01,RESPIRATORY,65415.340000000004,2410.0
2023-01,SKIN AND BODY,9105.06,150.0
2023-01,SPECIAL CATEGORY 1,1281.8400000000001,61.0
2023-01,VITAMINS,42400.46,2591.0
2023-01,WOUND CARE,1627.95,170.0
2023-02,ADULT MILK,1877.93,27.0
2023-02,ANTIBIOTICS,50641.38,1852.0
2023-02,ANTIDIABETICS,12447.61,1014.0
2023-02,ASSISTIVE DEVICE,129072.88,21.0
2023-02,BEVERAGES,5275.28,138.0
2023-02,CARDIOVASCULAR,32000.28,4015.0
2023-02,COLD CHAIN,220.0,1.0
2023-02,COTTONS AND HYGIENE,7254.58,183.0
2023-02,DERMATOLOGICALS,4770.26,49.0
2023-02,DIAGNOSTIC,2055.4,24.0
2023-02,DIAPERS,12076.63,66.0
2023-02,DISINFECTANT,4503.4,34.0
2023-02,DISPOSABLES,5622.51,114.0
2023-02,EENT,1522.5,9.0
2023-02,ELECTRONIC MEDICAL DEVICES,8851.41,11.0
2023-02,FOOD,105.5,2.0
2023-02,FOOD SUPPLEMENTS,5976.7,339.0
2023-02,GALENICALS AND SOLUTIONS,5830.9,90.0
2023-02,GIT,16206.69,814.0
2023-02,GUT AND HORMONES,22614.57,639.0
2023-02,HAIR CARE,654.9,11.0
2023-02,HOME REMEDY,2864.6,39.0
2023-02,HOUSEHOLD CHEMICALS,707.65,2.0
2023-02,MANUAL MEDICAL DEVICES,7344.0,3.0
2023-02,NEEDLES AND TUBINGS,896.44,35.0
2023-02,NEUROLOGICAL DRUGS,2491.6,141.0
2023-02,ORAL CARE,7537.75,93.0
2023-02,ORTHO SUPPORT,645.0,11.0
2023-02,PAIN MANAGEMENT,37587.85,2504.0
2023-02,PERSONAL PROTECTIVE EQUIPMENT,2104.62,16.0
2023-02,"PLASTIC, GLASSWARE, AND STAINLESS",325.9,6.0
2023-02,PROMO PACKS,9277.27,164.0
2023-02,RESPIRATORY,57530.02,2071.0
2023-02,SKIN AND BODY,9639.25,144.0
