anchor,complement,lift,confidence_pct,support_pct,pair_tx
ALGINA (SODIUM ALGINATE) SUS,INHIBITA (OMEPRAZOLE) 40MG EC TAB,12.387605633802815,8.45,0.05,6
REFLUXID DUO 40MG/30MG SR CAP,ALGINA (SODIUM ALGINATE) SUS,42.23047375160051,27.27,0.05,6
EUTHYROX (LEVOTHYROXINE) 50MCG TAB,AMVASC BE (AMLODIPINE) 5MG TAB,41.77051671732522,31.91,0.14,15
FUSEDEX (FUROSEMIDE) 40MG TAB,CARVIDA (CARVEDILOL) 6.25MG TAB,40.078377762588296,28.07,0.15,16
GETZAR (LOSARTAN POTASSIUM) 50MG TAB,PLOGREL (CLOPIDOGREL) 75MG TAB,37.65068493150685,25.0,0.05,6
PLOGREL (CLOPIDOGREL) 75MG TAB,GETZAR (LOSARTAN POTASSIUM) 50MG TAB,37.65068493150685,8.22,0.05,6
PLOGREL (CLOPIDOGREL) 75MG TAB,ROVISTA 20MG TAB,15.734614598241667,9.59,0.06,7
PLOGREL (CLOPIDOGREL) 75MG TAB,NEBIL 5MG (NEBIVOLOL) TAB,9.79530014478227,10.96,0.07,8
PLOGREL (CLOPIDOGREL) 75MG TAB,ATENURIX (FEBUXOSTAT) 40MG FCT,9.26786090621707,10.96,0.07,8
PLOGREL (CLOPIDOGREL) 75MG TAB,MX3 COFFEE,6.5957404259574055,8.22,0.05,6
FEMME INTERFOLDED PAPER TOWEL 1PLY,SANICARE CLEANSING WIPES - ALOE 80 SHEETS,33.03485576923077,15.62,0.09,10
SANICARE CLEANSING WIPES - ALOE 80 SHEETS,FEMME INTERFOLDED PAPER TOWEL 1PLY,33.03485576923077,19.23,0.09,10
CLEENE CLIO TBRUSH ECONOMY,COLGATE AMINO POWDER 37G,31.411428571428576,8.57,0.05,6
COLGATE AMINO POWDER 37G,CLEENE CLIO TBRUSH ECONOMY,31.411428571428576,20.0,0.05,6
ASMACAIRE 2MG/5ML 60ML SYRUP,KLARYTH (CLARITHROMYCIN) 250MG/5ML SUSP 35ML,31.0439693424768,10.45,0.06,7
ASMACAIRE 2MG/5ML 60ML SYRUP,BACTIV (CO-AMOXICLAV) 457MG/5ML 70ML,18.46007462686567,26.87,0.16,18
KLARYTH (CLARITHROMYCIN) 250MG/5ML SUSP 35ML,ASMACAIRE 2MG/5ML 60ML SYRUP,31.0439693424768,18.92,0.06,7
KLARYTH (CLARITHROMYCIN) 250MG/5ML SUSP 35ML,OHHIRA&#039;S RED OMX PROBIOTICS CAP,12.100525865231749,24.32,0.08,9
B-PLEX (VIT B1+B6+B12) CAP,ATENURIX (FEBUXOSTAT) 40MG FCT,30.588870703764318,36.17,0.15,17
B-PLEX (VIT B1+B6+B12) CAP,REVICON FORTE (MULTIVITAMINS + MINERALS + AMINO ACIDS) TAB,18.306382978723402,19.15,0.08,9
B-PLEX (VIT B1+B6+B12) CAP,TRAJENTA (LINAGLIPTIN) 5MG TAB,17.99345335515548,14.89,0.06,7
B-PLEX (VIT B1+B6+B12) CAP,NEBIL 5MG (NEBIVOLOL) TAB,17.11572392319668,19.15,0.08,9
B-PLEX (VIT B1+B6+B12) CAP,FORXIGA (DAPAGLIFLOZIN) 10MG,9.193161757874199,19.15,0.08,9
FEBUDAY-40 (FEBUXOSTAT) 40MG TAB,GIRAN-8 (CANDESARTAN) 8MG TAB,29.35647530040054,14.95,0.15,16
FEBUDAY-40 (FEBUXOSTAT) 40MG TAB,KARVIDOL (CARVEDILOL) 25MG TAB,24.659439252336448,11.21,0.11,12
FEBUDAY-40 (FEBUXOSTAT) 40MG TAB,CLOHEAL (CLOPIDOGREL) 75MG TAB,23.54633956386293,10.28,0.1,11
FEBUDAY-40 (FEBUXOSTAT) 40MG TAB,SPIRODEN (SPIRONOLACTONE) 25MG TAB,18.681393372982157,13.08,0.13,14
FEBUDAY-40 (FEBUXOSTAT) 40MG TAB,CALIPTROL (ATORVASTATIN) 40MG,15.960802105072135,14.95,0.15,16
ALNIX PLUS SYR 5MG 60ML,BREZU (PROCATEROL) 5MCG/ML 60ML SYR,26.301435406698566,18.18,0.05,6
BREZU (PROCATEROL) 5MCG/ML 60ML SYR,ALNIX PLUS SYR 5MG 60ML,26.301435406698566,7.89,0.05,6
BREZU (PROCATEROL) 5MCG/ML 60ML SYR,NATRAVOX (CO-AMOXICLAV) 457MG/5ML 70ML,20.665413533834588,9.21,0.06,7
BREZU (PROCATEROL) 5MCG/ML 60ML SYR,BACTIV (CO-AMOXICLAV) 457MG/5ML 70ML,15.369901315789475,22.37,0.15,17
CALCIUMADE (CALCIUM + VITAMIN + MINERALS) TAB,TERRAFERON (FERROUS SULFATE + FOLIC ACID + B-COMPLEX + NICOTINAMIDE) CAP,26.270011947431303,22.22,0.11,12
TERRAFERON (FERROUS SULFATE + FOLIC ACID + B-COMPLEX + NICOTINAMIDE) CAP,CALCIUMADE (CALCIUM + VITAMIN + MINERALS) TAB,26.270011947431303,12.9,0.11,12
TERRAFERON (FERROUS SULFATE + FOLIC ACID + B-COMPLEX + NICOTINAMIDE) CAP,MX3 COFFEE,5.177301624676243,6.45,0.05,6
CARDOZ (CARVEDILOL) 6.25MG TAB,CALIPTROL (ATORVASTATIN) 40MG,25.114791547687034,23.53,0.07,8
CELCOXX (CELECOXIB) 200MG CAP,RM COLCHICINE 500MG,24.548006379585324,12.28,0.06,7
RM COLCHICINE 500MG,CELCOXX (CELECOXIB) 200MG CAP,24.548006379585324,12.73,0.06,7
RETASAR (LOSARTAN POTASSIUM) 50MG,RETAVASC (AMLODIPINE) 10MG TAB,21.171918767507005,9.24,0.1,11
RETAVASC (AMLODIPINE) 10MG TAB,RETASAR (LOSARTAN POTASSIUM) 50MG,21.171918767507005,22.92,0.1,11
ERCEFLORA (BASILLUS CLAUSII) ORAL SOLUTION 5ML,VIVALYTE E-DRINK APPLE 250ML,20.65894143438772,19.35,0.05,6
VIVALYTE E-DRINK APPLE 250ML,ERCEFLORA (BASILLUS CLAUSII) ORAL SOLUTION 5ML,20.65894143438772,5.83,0.05,6
VIVALYTE E-DRINK APPLE 250ML,VIVALYTE E-DRINK ORANGE 250ML,18.836093660765275,11.65,0.11,12
VIVALYTE E-DRINK APPLE 250ML,OHHIRA&#039;S RED OMX PROBIOTICS CAP,3.3808373237271003,6.8,0.06,7
VIVALYTE E-DRINK ORANGE 250ML,VIVALYTE E-DRINK APPLE 250ML,18.836093660765275,17.65,0.11,12
VIVALYTE E-DRINK ORANGE 250ML,OHHIRA&#039;S RED OMX PROBIOTICS CAP,4.389406441309556,8.82,0.05,6
BACTIV (CO-AMOXICLAV) 457MG/5ML 70ML,ASMACAIRE 2MG/5ML 60ML SYRUP,18.46007462686567,11.25,0.16,18
BACTIV (CO-AMOXICLAV) 457MG/5ML 70ML,BREZU (PROCATEROL) 5MCG/ML 60ML SYR,15.369901315789475,10.63,0.15,17
BACTIV (CO-AMOXICLAV) 457MG/5ML 70ML,APPEVIT 120ML SYR,12.493181818181817,6.25,0.09,10
BACTIV (CO-AMOXICLAV) 457MG/5ML 70ML,NEOPRED 20MG/5ML 60ML SYRUP,8.962500000000002,3.75,0.05,6
BACTIV (CO-AMOXICLAV) 457MG/5ML 70ML,OHHIRA&#039;S RED OMX PROBIOTICS CAP,7.4619909502262445,15.0,0.22,24
REVICON FORTE (MULTIVITAMINS + MINERALS + AMINO ACIDS) TAB,B-PLEX (VIT B1+B6+B12) CAP,18.306382978723402,7.83,0.08,9
REVICON FORTE (MULTIVITAMINS + MINERALS + AMINO ACIDS) TAB,NEPHROMIN (KETOANALOGUES+ESSENTIAL AMINO ACIDS) TAB,15.643636363636364,7.83,0.08,9
REVICON FORTE (MULTIVITAMINS + MINERALS + AMINO ACIDS) TAB,NEBIL 5MG (NEBIVOLOL) TAB,12.43577235772358,13.91,0.15,16
REVICON FORTE (MULTIVITAMINS + MINERALS + AMINO ACIDS) TAB,ATENURIX (FEBUXOSTAT) 40MG FCT,11.766153846153848,13.91,0.15,16
REVICON FORTE (MULTIVITAMINS + MINERALS + AMINO ACIDS) TAB,TRAJENTA (LINAGLIPTIN) 5MG TAB,7.353846153846153,6.09,0.06,7
