anchor,complement,lift,confidence_pct,support_pct,pair_tx
FUSEDEX (FUROSEMIDE) 40MG TAB,CARVIDA (CARVEDILOL) 6.25MG TAB,31.226301853486316,25.45,0.11,28
CALCIUMADE (CALCIUM + VITAMIN + MINERALS) TAB,TERRAFERON (FERROUS SULFATE + FOLIC ACID + B-COMPLEX + NICOTINAMIDE) CAP,30.10692479523455,18.82,0.06,16
TERRAFERON (FERROUS SULFATE + FOLIC ACID + B-COMPLEX + NICOTINAMIDE) CAP,CALCIUMADE (CALCIUM + VITAMIN + MINERALS) TAB,30.10692479523455,10.13,0.06,16
FEBUDAY-40 (FEBUXOSTAT) 40MG TAB,KARVIDOL (CARVEDILOL) 25MG TAB,29.041562918981036,10.57,0.09,24
FEBUDAY-40 (FEBUXOSTAT) 40MG TAB,CLOHEAL (CLOPIDOGREL) 75MG TAB,27.239338269753496,10.13,0.09,23
FEBUDAY-40 (FEBUXOSTAT) 40MG TAB,GIRAN-8 (CANDESARTAN) 8MG TAB,25.02677321312707,12.78,0.11,29
FEBUDAY-40 (FEBUXOSTAT) 40MG TAB,CALIPTROL (ATORVASTATIN) 40MG,14.7731173142368,12.33,0.11,28
FEBUDAY-40 (FEBUXOSTAT) 40MG TAB,SPIRODEN (SPIRONOLACTONE) 25MG TAB,11.843190552066737,8.81,0.08,20
CELCOXX (CELECOXIB) 200MG CAP,RM COLCHICINE 500MG,27.50691960814803,12.84,0.06,14
RM COLCHICINE 500MG,CELCOXX (CELECOXIB) 200MG CAP,27.50691960814803,11.86,0.06,14
TRAJENTA (LINAGLIPTIN) 5MG TAB,B-PLEX (VIT B1+B6+B12) CAP,26.006615701264334,7.82,0.06,14
TRAJENTA (LINAGLIPTIN) 5MG TAB,REVICON FORTE (MULTIVITAMINS + MINERALS + AMINO ACIDS) TAB,14.973506009818857,7.82,0.06,14
TRAJENTA (LINAGLIPTIN) 5MG TAB,ATENURIX (FEBUXOSTAT) 40MG FCT,10.85990545767082,7.82,0.06,14
TRAJENTA (LINAGLIPTIN) 5MG TAB,NEBIL 5MG (NEBIVOLOL) TAB,9.950926586764453,8.94,0.06,16
TRAJENTA (LINAGLIPTIN) 5MG TAB,FORXIGA (DAPAGLIFLOZIN) 10MG,5.882448789571695,10.61,0.08,19
NEBIL 5MG (NEBIVOLOL) TAB,B-PLEX (VIT B1+B6+B12) CAP,24.90186645026664,7.49,0.07,17
